ANS No.,Vocalist A,Voice Type A,Vocalist B,Voice Type B,Composer A,Composer A Discerned As,Composer B,Composer B Discerned As,Album Title,URL,Publisher & Number,Album Cover,Publication Year,Format,Track Entry No.,Song,Accompanied By,Dialect,Improvisation,Tags,Uniform Title,First Line of Text,Notes
ANS1483,"Thompson, Jeanette",Soprano,,,"Dawson, William L.",,,,Negro Spirituals,http://smile.amazon.com/exec/obidos/ASIN/B000001MRX/afrocentrvoicesi,Pavane Records ADW 7267,,1992,CD,1,Ain' a that good news,Chorus,None,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS2242,"Miller, Jeanette",Soprano,,,"Dawson, William L.",,,,No Man Canna Hinder Me,,MiJon Record Productions MJ240,,1979,CD,2,Ain-a that good news?,Piano,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS2306,"Paige-Green, Jacqueline",Soprano,,,"Lloyd, Charles",,,,"Spiritual Art Song Collection, The",http://smile.amazon.com/exec/obidos/ASIN/B00FKYFY34/afrocentrvoicesi,Warner Bros. SVBM00004,,2000,Score w/CD,3,Ain't a dat good news,Piano,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS1386,"Robinson, Faye",Soprano,,,"Scharnberg, Kim",,,,Remembering Marian Anderson,http://smile.amazon.com/exec/obidos/ASIN/B000003YNI/afrocentrvoicesi,d'Note Classics DND 1014,,1997,CD,4,Ain't a that a good news,Orchestra,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS0669,"Heard, Richard",Tenor,,,"Brown, Jr., Uzee",,,,Ain't a that good news: African-American art songs and spirituals ,http://smile.amazon.com/exec/obidos/ASIN/B00005BITQ/afrocentrvoicesi,HM Classics HMC9602,,1998,CD,5,Ain't a that good news,Piano,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS0687,"Hendricks, Barbara",Soprano,,,"Hogan, Moses",,,,Give me Jesus,http://smile.amazon.com/exec/obidos/ASIN/B00004VG3E/afrocentrvoicesi,EMI Classics 7243 5 56788 2 9,,1998,CD,6,Ain't that good news,Chorus,Heavy dialect,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS1068,"Pickens, Jo Ann",Soprano,,,Composer not identified,,,,My Heritage: American Melodies/Negro Spirituals,"<a title=""http://smile.amazon.com/exec/obidos/ASIN/B000BHHCC6/afrocentrvoicesi"" href=""http://smile.amazon.com/exec/obidos/ASIN/B000BHHCC6/afrocentrvoicesi"" target=""_blank"">http://smile.amazon.com/exec/obidos/ASIN/B000BHHCC6/afrocentrvoicesi</a>",Koch Schwann 3-1447-2,,1993,CD,7,Ain't that good news,,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS1214,"Ragin, Derek Lee",Countertenor,,,"Hogan, Moses",,,,Negro Spirituals,http://smile.amazon.com/exec/obidos/ASIN/B000F3T3A0/afrocentrvoicesi,Virgin Classics 0946 363305 2 5,,2006,CD,8,Ain't that good news,Chorus,Heavy dialect,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS2101,"Matthews, Benjamin",Bass-baritone,,,"Boatner, Edward",,,,"Spiritual Journey, A",http://smile.amazon.com/exec/obidos/ASIN/B000F9NBUC/afrocentrvoicesi,Ebony Classic Recordings ECR 0001,,2000,CD,9,Ain't that good news,Piano,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
ANS2576,"Matthews, Benjamin",Bass-baritone,,,"Boatner, Edward",,,,"Balm in Gilead, A","<a title=""http://smile.amazon.com/exec/obidos/ASIN/B000PGS8K8/afrocentrvoicesi"" href=""http://smile.amazon.com/exec/obidos/ASIN/B000PGS8K8/afrocentrvoicesi"" target=""_blank"">http://smile.amazon.com/exec/obidos/ASIN/B000PGS8K8/afrocentrvoicesi</a>",Ebony Classic Recordings ECR 0001,,2000,CD,10,Ain't that good news,Piano,,,OT-Proverbs,Ain't That Good News,I got a crown up in-a that kingdom,
